NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Content Category,Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,
,,-14.00,High Risk,NF00100,3D Studio Shapes,3DS ,CAD/3D/Vector Graphics,-1,-1,0,-2,-1,-5,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,,,,,0,,,,,,0,,-4,,-4,0,-14.00,High Risk,
,X,34.00,Low Risk,NF00102,Adaptive Multi-Rate Speech Codec,amr; 3ga,Digital Audio,0,2,2,2,-1,5,0,2,2,2,0,6,-1,1,1,1,1,-1,1,3,-1,1,-1,2,2,3,2,2,4,1,2,1,1,5,0,0,1,-1,0,2,2,2,0,2,8,1998,-4,2017,0,0,34.00,Low Risk,
,,15.00,Moderate Risk,NF00103,Adobe InDesign,indd,Presentation/Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,15.00,Moderate Risk,
,,7.00,Moderate Risk,NF00104,Adobe PhotoDeluxe,pdd,Digital Still Image,-1,-1,-1,-2,-1,-6,-2,-1,-1,2,-1,-3,0,1,1,-1,1,0,0,2,0,1,1,-1,1,2,2,2,4,1,1,1,1,4,1,1,1,1,4,0,0,0,0,0,0,1997,-4,2002,-4,0,7.00,Moderate Risk,
,,14.00,Moderate Risk,NF00105,Adobe Photoshop,psd,Digital Still Image,-1,2,2,-2,1,2,2,2,2,2,-1,7,1,1,1,-1,1,0,1,4,0,1,1,-1,2,3,2,2,4,-2,-2,1,-2,-5,-1,1,0,-1,-1,0,0,0,0,0,0,1990,-4,2016,0,0,14.00,Moderate Risk,
,,39.00,Low Risk,NF00106,Advanced Audio Coding MPEG-2 Audio Data Interchange Format,aac,Digital Audio,2,2,2,1,2,9,0,1,1,1,1,4,1,1,1,1,1,-1,,4,-1,1,1,2,2,5,2,2,4,1,1,1,1,4,1,1,0,-1,1,2,,2,2,2,8,2003,-4,2005,-2,0,39.00,Low Risk,
,,34.00,Low Risk,NF00107,"Advanced Audio Coding MPEG-2, MPEG-4",aac,Digital Audio,2,2,2,2,2,10,-1,-1,2,2,2,4,-1,1,1,1,1,-1,-1,1,-1,1,-1,2,2,3,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,-1,-1,2,4,2001,-4,2009,-2,0,34.00,Low Risk,
,,29.00,Low Risk,NF00108,Advanced Audio Coding MPEG-4 Low Complexity Object,m4a; mp4,Digital Audio,2,2,2,2,2,10,-1,-1,2,2,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,2,2,3,2,2,4,1,1,1,1,4,1,1,1,-1,2,2,2,-1,-1,2,4,2001,-4,2009,-2,0,29.00,Low Risk,
,,10.00,Moderate Risk,NF00109,Advanced Systems Format,asf,Digital Video,-1,2,2,-1,2,4,-1,-1,2,2,-1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,2,4,2,2,4,1,1,-2,1,1,-1,-1,-1,-1,-4,-1,2,-1,-1,0,-1,2003,-4,2012,-2,0,10.00,Moderate Risk,
,,0.00,Moderate Risk,NF00110,Apple Macintosh Desktop Services Store,DS_STORE,Software,-1,-1,0,-2,0,-4,-2,0,2,-1,-1,-2,-1,0,0,-1,1,1,1,1,-1,0,0,0,0,-1,2,2,4,-2,1,-2,-2,-5,0,0,0,-1,-1,2,2,2,0,2,8,1984,-4,2012,-2,0,0.00,Moderate Risk,
