Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,Risk Level,Preservation Action,Proposed Preservation Plan,Description and Justification,Preferred Processing and Transformation Tool(s)
32-bit Portable Executable file,pe|exe|dll|cpl|efi|ocx|scr|sys,Software and Code,NF00380,"application/octet-stream|application/octet-stream; version=""32 bit""",https://learn.microsoft.com/en-us/windows/win32/debug/pe-format,https://www.nationalarchives.gov.uk/pronom/fmt/899,,,https://www.wikidata.org/wiki/Q47455466,http://fileformats.archiveteam.org/wiki/PE,https://forensics.wiki/portable_executable_format/,https://en.wikipedia.org/wiki/Portable_Executable,,,,High Risk,Retain,Retain,"The Portable Executable (PE) format is a compiled file format for executables, object code, DLLs and others used in 32-bit Windows operating systems. The PE format is a data structure that encapsulates the information necessary for the Windows OS loader to manage the wrapped executable code. This includes dynamic library references for linking, API export and import tables, resource management data and thread-local storage data. Software should be transferred in its native/original format, but should be provided as both raw source code and a compiled runtime version, if it exists. It should also be accompanied by release notes, readme files, and user/administrative documentation, if they exist. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files.",
3DS Max,max,Digital Design and Vector Graphics,NF00100,,,https://www.nationalarchives.gov.uk/pronom/fmt/978,,,https://www.wikidata.org/wiki/Q28771225,http://fileformats.archiveteam.org/wiki/MAX_(3ds_Max),,https://en.wikipedia.org/wiki/Autodesk_3ds_Max,,,,High Risk,Transform,Transform to ESRI ArcGIS Shapefile,Successor format for 3DS. 3DS Max is based on the Microsoft Compound File format. The file format is proprietary with limited open or available documentation. Autodesk 3DS Max software is still in production.,FME Desktop; Global Mapper
64-bit Portable Executable file,pe|exe|dll|cpl|efi|ocx|scr|sys,Software and Code,NF00536,"application/octet-stream|application/octet-stream; version=""64 bit""",https://learn.microsoft.com/en-us/windows/win32/debug/pe-format,https://www.nationalarchives.gov.uk/pronom/fmt/900,,,https://www.wikidata.org/wiki/Q47455565,http://fileformats.archiveteam.org/wiki/PE,https://forensics.wiki/portable_executable_format/,https://en.wikipedia.org/wiki/Portable_Executable,,,,High Risk,Retain,Retain,"The Portable Executable (PE) format is a compiled file format for executables, object code, DLLs and others used in 64-bit Windows operating systems. The PE format is a data structure that encapsulates the information necessary for the Windows OS loader to manage the wrapped executable code. This includes dynamic library references for linking, API export and import tables, resource management data and thread-local storage data. Software should be transferred in its native/original format, but should be provided as both raw source code and a compiled runtime version, if it exists. It should also be accompanied by release notes, readme files, and user/administrative documentation, if they exist. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files.",
A86 assembler source code file,a86,Software and Code,NF00769,,,,,,https://www.wikidata.org/wiki/Q4649654,,,https://en.wikipedia.org/wiki/A86_(software),,https://verhoeven272.nl/fruttenboel/asm/a86man.html,,High Risk,Retain,Retain,A86 is a proprietary assembler for DOS which generates code for the Intel x86 family of microprocessors. The assembler is contained in one 32K executable and can directly produce a COM file or an object file for use with a standard linker. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function.,DOS
Adaptive Multi Rate Audio (AMR),amr,Digital Audio,NF00102,audio/amr,http://www.voiceage.com/AMR-NB.AMR.html,https://www.nationalarchives.gov.uk/pronom/fmt/356,https://www.loc.gov/preservation/digital/formats/fdd/fdd000254.shtml,,https://www.wikidata.org/wiki/Q4676210,http://fileformats.archiveteam.org/wiki/Ext:amr,,https://en.wikipedia.org/wiki/Adaptive_Multi-Rate_audio_codec,https://docs.fileformat.com/audio/amr/,https://www.FFmpeg.org/FFmpeg-codecs.html,,Low Risk,Retain,Retain,"The file format is well documented, there are minimal files in the holdings, and there are open source tools available for transcoding.",FFmpeg; Audacity; VLC
Adobe AIR file,air,Web Records,NF00705,application/vnd.adobe.air-application-installer-package+zip,,https://www.nationalarchives.gov.uk/pronom/fmt/937,,,https://www.wikidata.org/wiki/Q50223921,,,https://en.wikipedia.org/wiki/Adobe_AIR,,https://help.adobe.com/en_US/air/admin/WS485a42d56cd1964167ea49bd124ef17d52a-7fff.html,,Moderate Risk,Retain,Retain,"An AIR (Adobe Integrated Runtime) file is an installer package file that stores web-based applications programmed using ActionScript or Apache Flex. They're usually ZIP-compressed and can be used across all desktop and mobile operating systems that support the Adobe AIR runtime, like Windows, macOS, Android, iOS, and BlackBerry Tablet OS. AIR makes it possible for web apps to use HTML, JAVA, Flash and ActionScript and then run as standalone applications that run outside of the browser.",Adobe AIR
Adobe Director,dir,Presentation and Publishing,NF00678,application/x-director,https://nosamu.medium.com/a-tour-of-the-adobe-director-file-format-e375d1e063c0,https://www.nationalarchives.gov.uk/pronom/x-fmt/341,,,https://www.wikidata.org/wiki/Q34312151,http://fileformats.archiveteam.org/wiki/Shockwave_(Director),,https://en.wikipedia.org/wiki/Adobe_Director,,https://medusa.library.illinois.edu/file_formats/215,,Moderate Risk,Transform,Transform to a TBD Format,"Formerly Macromedia Director or Shockwave Director, this was a multimedia application authoring platform created by Macromedia and later managed by Adobe until its discontinuation in 2013. Director was the primary editor on the Adobe Shockwave platform. As an interactive multimedia file, more research is needed for reformatting.",Adobe Director; DRXtract
Adobe Director cast file,cst,Presentation and Publishing,NF00688,,,,,,,http://fileformats.archiveteam.org/wiki/Shockwave_(Director),,https://en.wikipedia.org/wiki/Adobe_Director,,,,Moderate Risk,Transform,Transform to a TBD Format,"Formerly Macromedia Director or Shockwave Director, this was a multimedia application authoring platform created by Macromedia and later managed by Adobe until its discontinuation in 2013. Director was the primary editor on the Adobe Shockwave platform. The Cast file held an editable ""cast,"" or bundling of scripts and other resources attached to a ""cast member.""",Adobe Director; DRXtract
Adobe Illustrator 1.0/1.1,ai,Digital Design and Vector Graphics,NF00668,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/x-fmt/20,,,https://www.wikidata.org/wiki/Q27866092,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 3.0/3.2,ai,Digital Design and Vector Graphics,NF00669,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/418,,,https://www.wikidata.org/wiki/Q27866112,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 4.0,ai,Digital Design and Vector Graphics,NF00670,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/419,,,https://www.wikidata.org/wiki/Q27866113,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 5.0/5.5,ai,Digital Design and Vector Graphics,NF00671,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/420,,,https://www.wikidata.org/wiki/Q27866114,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 6.0,ai,Digital Design and Vector Graphics,NF00672,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/422,,,https://www.wikidata.org/wiki/Q27866120,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 7.0,ai|eps,Digital Design and Vector Graphics,NF00673,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/423,,,https://www.wikidata.org/wiki/Q27866121,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 8.0,ai|eps,Digital Design and Vector Graphics,NF00674,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/557,,,https://www.wikidata.org/wiki/Q27866110,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator 9.0,ai|eps,Digital Design and Vector Graphics,NF00675,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,https://www.nationalarchives.gov.uk/pronom/fmt/558,,,https://www.wikidata.org/wiki/Q47498538,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,,Moderate Risk,Transform,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe Illustrator unspecified version,ai,Digital Design and Vector Graphics,NF00667,application/postscript|application/vnd.adobe.illustrator,https://www.fileformat.info/format/ai/egff.htm,,,,https://www.wikidata.org/wiki/Q2584726,http://fileformats.archiveteam.org/wiki/Adobe_Illustrator_Artwork,,https://en.wikipedia.org/wiki/Adobe_Illustrator_Artwork,,https://www.fileformat.info/format/ai/egff.htm,A number of Adobe Illustrator files in NARA's holdings have only been identified by their extensions. NF00666 is currently a catch-all for these.,Moderate Risk,Identify Version,Transform to PDF,"Adobe Illustrator is a vector graphics editor and design program. A file with an .ai extension is an Adobe Illustrator Artwork file that contains vector graphics in a single page. it uses points to create paths for displaying the image data, making it safe from losing image quality if it is scaled up or down.",Adobe Illustrator
Adobe InDesign Document CS,ind|indd,Presentation and Publishing,NF00103,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/fmt/196,,,https://www.wikidata.org/wiki/Q61752184,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,,Moderate Risk,Transform,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe InDesign Document CS2,ind|indd,Presentation and Publishing,NF00463,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/fmt/548,,,https://www.wikidata.org/wiki/Q47493509,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,,Moderate Risk,Transform,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe InDesign Document CS3,ind|indd,Presentation and Publishing,NF00464,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/fmt/549,,,https://www.wikidata.org/wiki/Q47493614,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,,Moderate Risk,Transform,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe InDesign Document CS4,ind|indd,Presentation and Publishing,NF00465,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/fmt/550,,,https://www.wikidata.org/wiki/Q47493619,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,,Moderate Risk,Transform,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe InDesign Document CS5,ind|indd,Presentation and Publishing,NF00466,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/fmt/551,,,https://www.wikidata.org/wiki/Q47493628,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,,Moderate Risk,Transform,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe InDesign Document CS6,ind|indd,Presentation and Publishing,NF00467,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/fmt/552,,,https://www.wikidata.org/wiki/Q47493633,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,,Moderate Risk,Transform,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe InDesign Document unspecified version,ind|indd,Presentation and Publishing,NF00648,application/octet-stream|application/x-adobe-indesign,,https://www.nationalarchives.gov.uk/pronom/x-fmt/450,,,https://www.wikidata.org/wiki/Q59914742,http://fileformats.archiveteam.org/wiki/INDD,,https://en.wikipedia.org/wiki/Adobe_InDesign,,,A number of Adobe InDesign Documents in NARA's holdings have only been identified by their extensions. NF00648 is currently a catch-all for these.,Moderate Risk,Identify Version,Transform to PDF,"Adobe InDesign is a professional desktop publishing program, developed by Adobe. It is used to create graphically rich documents, magazines, books, brochures, newspapers and other more sophisticated texts. The INDD files are documents with various page layout formatting and graphics elements and linked images, created with and used by the application. Adobe InDesign is a proprietary format, but it can be converted to PDF for record content sustainability.",Adobe InDesign
Adobe Localization File,zdct,Software and Code,NF00537,,,,,,,,,,,,,Moderate Risk,Retain,Retain,"Adobe Localization ZDCT files are binary data files used in language localization for Adobe After Effects, Illustrator, Dreamweaver, Captivate and Photoshop Elements. They contain application menu text phrases or popup boxes or localization text strings for specific languages translation. Aside from string translation, it can also include other assets like images, audio files and videos. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files.",Associated Adobe product software
Adobe PhotoDeluxe,pdd,Digital Still Image,NF00104,,,https://www.nationalarchives.gov.uk/pronom/x-fmt/167,,,https://www.wikidata.org/wiki/Q28206952,http://fileformats.archiveteam.org/wiki/PhotoDeluxe,,https://en.wikipedia.org/wiki/Adobe_PhotoDeluxe,,,,Moderate Risk,Transform,"Transform to TIFF, JPEG, or JPEG2000",Proprietary format; transform into standard format.,Adobe Photoshop
Adobe Photoshop,psd,Digital Still Image,NF00105,image/vnd.adobe.photoshop,https://www.adobe.com/devnet-apps/photoshop/fileformatashtml/,https://www.nationalarchives.gov.uk/pronom/x-fmt/92,https://www.loc.gov/preservation/digital/formats/fdd/fdd000523.shtml,,https://www.wikidata.org/wiki/Q2141903,http://fileformats.archiveteam.org/wiki/PSD,,https://en.wikipedia.org/wiki/Adobe_Photoshop#File_format,https://docs.fileformat.com/image/psd/,,,Moderate Risk,Transform,Transform to TIFF or JPEG2000,This is a native Photoshop file used to retain certain editing functions and is considered an intermediate production file. These files should be converted to a standardized flattened format.,Adobe Photoshop
Adobe Photoshop Duotone Options,ado,Software and Code,NF00697,,https://www.adobe.com/devnet-apps/photoshop/fileformatashtml/#50577411_pgfId-1064451,,,,https://www.wikidata.org/wiki/Q28551337,http://fileformats.archiveteam.org/wiki/Photoshop,,https://en.wikipedia.org/wiki/Adobe_Photoshop,,,,Moderate Risk,Retain,Retain,".ado is a Photoshop Duotone Options settings file. It is not clear if this is a plain text file, but it should not be reformatted since it is needed for settings.",Any supported text editor
Adobe Premiere Pro Project,prproj,Digital Video,NF00818,text/xml,,,,,https://www.wikidata.org/wiki/Q105864404,http://fileformats.archiveteam.org/wiki/Premiere_Pro,,https://en.wikipedia.org/wiki/Adobe_Premiere_Pro,https://docs.fileformat.com/video/prproj/,https://community.adobe.com/t5/premiere-pro-discussions/premiere-pro-cc-project-file-prproj-no-longer-xml/m-p/5350271,,Moderate Risk,Retain,Retain but extract files from the container,"A .prproj file is XML. After version CS6 of the Premiere Pro software, .prproj files are encoded in GZIP. They should be able to be opened in a text editor by changing the extension to .gz.",Any supported text editor; Adobe Premiere Pro
Adobe Type 1 PostScript Adobe Font Metrics or Print Font Metrics File,pfm|afm,Software and Code,NF00538,application/octet-stream,https://wwwimages2.adobe.com/content/dam/acom/en/devnet/font/pdfs/T1_SPEC.pdf,https://www.nationalarchives.gov.uk/pronom/fmt/509,,,https://www.wikidata.org/wiki/Q58725633,http://fileformats.archiveteam.org/wiki/Adobe_Type_1,,https://en.wikipedia.org/wiki/PostScript_fonts,,,,Moderate Risk,Retain,Retain,"Adobe Type 1, also named PostScript Type 1, is an outline font format that was widely used. A member of the PostScript font family, it is sometimes called ATM font in reference to the Adobe Type Manager software. An AFM file is plain text and provides both global metrics for a font program and the metrics of each individual character. The PFM is a binary version of the AFM file generated during installation. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",LCDF Type Software
