Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,NARA Risk Level,NARA Preservation Action,NARA Proposed Preservation Plan,Description and Justification,NARA Preferred Processing and Transformation Tool(s)
32-bit Portable Executable file,pe|exe|dll|cpl|efi|ocx|scr|sys,Software and Code,NF00380,"application/octet-stream|application/octet-stream; version=""32 bit""",https://learn.microsoft.com/en-us/windows/win32/debug/pe-format,https://www.nationalarchives.gov.uk/PRONOM/fmt/899,,,https://www.wikidata.org/wiki/Q47455466,http://fileformats.archiveteam.org/wiki/PE,https://forensics.wiki/portable_executable_format/,https://en.wikipedia.org/wiki/Portable_Executable,,,,Moderate Risk,Retain,Retain,"The Portable Executable (PE) format is a compiled file format for executables, object code, DLLs and others used in 32-bit Windows operating systems. The PE format is a data structure that encapsulates the information necessary for the Windows OS loader to manage the wrapped executable code. This includes dynamic library references for linking, API export and import tables, resource management data and thread-local storage data. Software should be transferred in its native/original format, but should be provided as both raw source code and a compiled runtime version, if it exists. It should also be accompanied by release notes, readme files, and user/administrative documentation, if they exist. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files.",
3DS Max,max,Digital Design and Vector Graphics,NF00100,,,https://www.nationalarchives.gov.uk/PRONOM/fmt/978,,,https://www.wikidata.org/wiki/Q28771225,http://fileformats.archiveteam.org/wiki/MAX_(3ds_Max),,https://en.wikipedia.org/wiki/Autodesk_3ds_Max,,,,Moderate Risk,Transform,Transform to ESRI ArcGIS Shapefile,"3DS Max files (.max) are proprietary 3D modeling files that contain all components and references needed to render a 3D scene. First released in 1988, Autodesk 3DS Max supports polygon, NURBS, and surface tool modeling. These files can be opened in FME and Autodesk 3DS Max, which supports backwards compatibility to open any .max file created in earlier versions of the software. Due to the proprietary nature of the format and the expense of Autodesk 3DS Max software, transformation to the open-source file format USD is recommended.",FME; Global Mapper; Autodesk 3ds Max
3G2,3g2|3gg2|3gp2,Digital Video,NF00882,video/3gpp2|audio/3gpp2,http://www.3gpp2.org/Public_html/Specs/index.cfm,,,,https://www.wikidata.org/wiki/Q27863098,http://fileformats.archiveteam.org/wiki/3G2,,https://en.wikipedia.org/wiki/3GP_and_3G2,https://docs.fileformat.com/video/3g2/,,,Low Risk,Retain,Retain,"3G2 (3G2, 3GPP2 or 3GP2) is a digital multimedia container format. 3G2 was created by the Third Generation Partnership Program in 2004 to be used for 3G CDMA2000 services.  3G2 uses video compression MPEG-4 Part 12 with codecs H.263 or H.264 and audio compressions Adaptive Multi-Rate (AMR) or Advanced Audio Coding- Low Complexity (AAC-LC).  Compared to 3GP, 3G2 files consume less space and bandwidth. 3G2 files are primarily used for 3G mobile phones to send media files through Multimedia Messaging Services (MMS) but can also be played on some 2G and 4G phones. 3G2 has an open specification and open source tools available for transcoding. NARA recommends retaining 3G2 files as-is.",FFmpeg; VLC; Windows Media Player
3GP,3gp|3gpp,Digital Video|Digital Audio,NF00101,video/3gpp|audio/3gpp,https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=1441,https://www.nationalarchives.gov.uk/PRONOM/fmt/357,,,https://www.wikidata.org/wiki/Q27863097,http://fileformats.archiveteam.org/wiki/3GPP,,https://en.wikipedia.org/wiki/3GP_and_3G2,https://docs.fileformat.com/video/3gp/,https://tools.ietf.org/html/rfc3839,,Low Risk,Retain,Retain,"3GP, or 3GPP, is a digital multimedia container format. 3PG was created by the Third Generation Partnership Program in 2003 to be used for 3G Universal Mobile Telecommunications System (UMTS). 3GP uses video compression MPEG-4 Part 12 with codecs H.263 or H.264 and audio compressions Adaptive Multi-Rate (AMR) or Advanced Audio Coding- Low Complexity (AAC-LC). 3GP files are primarily used for 3G mobile phones to send media files through Multimedia Messaging Services (MMS) but can also be played on some 2G and 4G phones. 3GP has an open specification and open source tools available for transcoding. NARA recommends retaining 3GP files as-is.",FFmpeg; VLC; Windows Media Player
64-bit Portable Executable file,pe|exe|dll|cpl|efi|ocx|scr|sys,Software and Code,NF00536,"application/octet-stream|application/octet-stream; version=""64 bit""",https://learn.microsoft.com/en-us/windows/win32/debug/pe-format,https://www.nationalarchives.gov.uk/PRONOM/fmt/900,,,https://www.wikidata.org/wiki/Q47455565,http://fileformats.archiveteam.org/wiki/PE,https://forensics.wiki/portable_executable_format/,https://en.wikipedia.org/wiki/Portable_Executable,,,,Moderate Risk,Retain,Retain,"The Portable Executable (PE) format is a compiled file format for executables, object code, DLLs and others used in 64-bit Windows operating systems. The PE format is a data structure that encapsulates the information necessary for the Windows OS loader to manage the wrapped executable code. This includes dynamic library references for linking, API export and import tables, resource management data and thread-local storage data. Software should be transferred in its native/original format, but should be provided as both raw source code and a compiled runtime version, if it exists. It should also be accompanied by release notes, readme files, and user/administrative documentation, if they exist. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function, as will extracting files from binary container archives files.",
A86 assembler source code file,a86,Software and Code,NF00769,,,,,,,,,https://en.wikipedia.org/wiki/A86_(software),,https://web.archive.org/web/20170521164033/https://verhoeven272.nl/fruttenboel/asm/a86man.html,,Moderate Risk,Retain,Retain,A86 is a proprietary assembler for DOS which generates code for the Intel x86 family of microprocessors. The assembler is contained in one 32K executable and can directly produce a COM file or an object file for use with a standard linker. Any format migration for compiled or binary code creates a guaranteed outcome that the code will no longer function.,DOS
Adaptive Multi Rate Audio (AMR),amr,Digital Audio,NF00102,audio/amr,https://www.ietf.org/rfc/rfc4867.txt,https://www.nationalarchives.gov.uk/PRONOM/fmt/356,https://www.loc.gov/preservation/digital/formats/fdd/fdd000254.shtml,,https://www.wikidata.org/wiki/Q4676210,http://fileformats.archiveteam.org/wiki/Adaptive_Multi-Rate_Audio,,https://en.wikipedia.org/wiki/Adaptive_Multi-Rate_audio_codec,https://docs.fileformat.com/audio/amr/,https://www.FFmpeg.org/FFmpeg-codecs.html,,Moderate Risk,Retain,Retain,"Adaptive Multi Rate Audio (AMR, AMR-NB, or GSM-AMR) is a compressed audio form used for speech coding and used mainly for mobile communications. The file code was developed by the Third Generation Partnership Project (3GPP) in 1999. AMR has an open standard, is well documented and widely used, and can be used with a variety of open source tools to transcode. AMR files should be retained as-is since the files can easily be opened and are prevalent in the field. ",FFmpeg; Audacity; VLC
Adobe After Effects project (Binary Variant),aep,Digital Design and Vector Graphics|Digital Video|Digital Audio,NF00865,application/aep,,https://www.nationalarchives.gov.uk/PRONOM/fmt/796,,,https://www.wikidata.org/wiki/Q28919071,http://fileformats.archiveteam.org/wiki/After_Effects,,https://en.wikipedia.org/wiki/Adobe_After_Effects,https://docs.fileformat.com/video/aep/,https://helpx.adobe.com/after-effects/using/projects.html,,Moderate Risk,Retain,Retain and transform to a TBD format,"Adobe After Effects project file Binary Variant (AEP) is created by the Adobe After Effects software. Adobe After Effects is a digital visual effects, motion graphics and compositing application released in 1993 by Adobe. AEP is the project file in binary form that's a small file size. The AEP files have various layers, animations, modification effects, and graphics elements and linked images, created with and used by the application. AEP is normally the primary file for After Effects. AEP is a proprietary format, but the content of the project file can be exported to another format in After Effects. Since it's a project file, it is most likely intended to be exported into another file for use; therefore, files should be retained and be ready to be exported into another file after further research. ",Adobe After Effects
Adobe After Effects project (XML Variant),aepx,Digital Design and Vector Graphics|Digital Video|Digital Audio,NF00866,application/aepx,,,,,https://www.wikidata.org/wiki/Q28919072,http://fileformats.archiveteam.org/wiki/After_Effects,,https://en.wikipedia.org/wiki/Adobe_After_Effects,https://docs.fileformat.com/video/aep/,https://helpx.adobe.com/after-effects/using/projects.html,,Moderate Risk,Retain,Retain and transform to a TBD format,"Adobe After Effects project file XML Variant (AEPX) is created by the Adobe After Effects software. Adobe After Effects is a digital visual effects, motion graphics and compositing application released in 1993 by Adobe. AEPX is XML based and stores data in text format and in a larger file size. The AEPX files have various layers, animations, modification effects, and graphics elements and linked images, created with and used by the application. AEPX is normally an intermediate file for After Effects and can be used for automation within non-Adobe applications. AEPX is a proprietary format, but the content of the project file can be exported to another format in After Effects. Since it's a project file, it is most likely intended to be exported into another file for use; therefore, files should be retained and be ready to be exported into another file after further research. ",Adobe After Effects
Adobe AIR file,air,Web Records,NF00705,application/vnd.adobe.air-application-installer-package+zip,,https://www.nationalarchives.gov.uk/PRONOM/fmt/937,,,https://www.wikidata.org/wiki/Q50223921,http://fileformats.archiveteam.org/wiki/Adobe_Air,,https://en.wikipedia.org/wiki/Adobe_AIR,,https://help.adobe.com/en_US/air/admin/WS485a42d56cd1964167ea49bd124ef17d52a-7fff.html,,Moderate Risk,Retain,Retain,"An AIR (Adobe Integrated Runtime) file is an installer package file that stores web-based applications programmed using ActionScript or Apache Flex. They're usually ZIP-compressed and can be used across all desktop and mobile operating systems that support the Adobe AIR runtime, like Windows, macOS, Android, iOS, and BlackBerry Tablet OS. AIR makes it possible for web apps to use HTML, JAVA, Flash and ActionScript and then run as standalone applications that run outside of the browser.",Adobe AIR
