NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Record Type/Plan(s),Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,Number of identified files in the combined NARA holdings,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,"Feasibility: Ability to Convert (tools exist for conversion that does not alter content in unacceptable ways; NARA can perform acceptable transformations) Highest possible score=5, Lowest possible score =-5",NARA TOTAL
,,-27,High Risk,NF00380,32-bit Portable Executable file,pe; exe; dll; cpl; efi; ocx; scr; sys,Software and Code,-1,-1,-1,-2,-1,-6,-2,-1,-1,0,-1,-5,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,-1,-1,-1,0,-1,-1,2,-1,1993,-4,2016,0,-4,-27,High Risk,273,0,-5,3,-29
,,-22,High Risk,NF00100,3DS Max,max,Digital Design,-1,-1,0,-2,-1,-5,2,2,2,2,-1,7,-1,-1,-1,-1,-1,,,-5,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,-2,-2,-8,0,0,0,0,0,0,0,0,0,0,0,,-4,,-4,-8,-22,High Risk,1210,0,-5,-3,-30
,,-27,High Risk,NF00536,64-bit Portable Executable file,pe; exe; dll; cpl; efi; ocx; scr; sys,Software and Code,-1,-1,-1,-2,-1,-6,-2,-1,-1,0,-1,-5,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,-1,-1,-1,0,-1,-1,2,-1,2003,-4,2016,0,-4,-27,High Risk,54379,0.003,-5,3,-29
,X,30,Low Risk,NF00102,Adaptive Multi Rate Audio (AMR),amr,Digital Audio,0,2,2,2,-1,5,0,2,2,2,0,6,-1,1,1,1,1,-1,1,3,-1,1,-1,2,2,3,2,2,4,1,2,1,1,5,0,0,1,-1,0,2,2,2,0,2,8,1998,-4,2017,0,-4,30,Low Risk,58,0,-5,-3,22
,,11,Moderate Risk,NF00103,Adobe InDesign Document CS,ind; indd,Presentation and Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2003,-4,2020,0,-4,11,Moderate Risk,29075,0.001,-5,-3,3
,,11,Moderate Risk,NF00463,Adobe InDesign Document CS2,ind; indd,Presentation and Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2005,-2,2005,-2,-4,11,Moderate Risk,29075,0.001,-5,-3,3
,,11,Moderate Risk,NF00464,Adobe InDesign Document CS3,ind; indd,Presentation and Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2007,-2,2007,-2,-4,11,Moderate Risk,29075,0.001,-5,-3,3
,,11,Moderate Risk,NF00465,Adobe InDesign Document CS4,ind; indd,Presentation and Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2008,-2,2008,-2,-4,11,Moderate Risk,29075,0.001,-5,-3,3
,,11,Moderate Risk,NF00466,Adobe InDesign Document CS5,ind; indd,Presentation and Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2010,-2,2010,-2,-4,11,Moderate Risk,29075,0.001,-5,-3,3
,,11,Moderate Risk,NF00467,Adobe InDesign Document CS6,ind; indd,Presentation and Publishing,-1,-1,2,0,0,0,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2012,-2,2012,-2,-4,11,Moderate Risk,29075,0.001,-5,-3,3
