NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),1.1: Is the format proprietary?,1.2: Does the format have a published open specification?,"1.3: If there is a published specification, has it been approved and published by an internationally recognized standards organization?","1.4: When was the format specification for this version last updated (or, if the last updated date is not available, when was it created)?",1: TOTAL Disclosure Score,2.1: Has the file format commonly been used to create or maintain permanent records within the federal government at any point in time?,"2.2: Is the format, or format family, actively maintained and updated by an organization or community?",2.3: Have the archives or library communities identified the format as one to avoid for creation and transfer of permanent materials?,2: TOTAL Adoption Score,"3.1: Is the format character-based, rather than binary?",3.2: Is there an internal signature in an authoritative format registry that can be used to identify a file in this format?,3.3: Does the format require the use of compression?,"3.4: If the format requires the use of compression, can it be lossy?",3.5: Does this format support declared or hidden embedded data?,"3.6: If the format supports declared or hidden embedded data, does the format list or provide standard information about embedded data?",3: TOTAL Transparency Score,4.1: Does the format natively include metadata that documents the file and the technical environment used to create (and/or modify) it?,4.2: Does the format support adding embedded descriptive and administrative metadata through manual or automated processes?,4: TOTAL Self-Documentation Score,"5.1: Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","5.2: Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",5: TOTAL External Hardware Dependencies Score,6.1: Are renderers available?,"6.2: If renderers are available, is at least one of them open source?","6.3: Does the format rely on plug-ins and/or scripts, etc. to render or execute files?",6.4: Can the format be rendered or executed in more than one computing operating system?,6.5: Is there software supported by current computing environments that can create the format?,6: TOTAL External Software Dependencies Score,7.1: Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,7.2: Does the format have open source license terms?,7: TOTAL Impact of Patents Score,8.1: Does the format require the use of encryption?,"8.2: If the format requires the use of encryption, is it robust (cryptographically secure)?",8.3: Does the format natively allow the use of technical protection measures (e.g. digital rights management)?,8: TOTAL Technical Protection Mechanisms Score,TOTAL Numeric Risk Rating,Risk Level,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,Feasibility Score,NARA TOTAL
,,0.00,Moderate Risk,NF00380,32-bit Portable Executable file,pe|exe|dll|cpl|efi|ocx|scr|sys,Software and Code,Yes,Yes,No,2024,0,Unknown,No,Yes,-3,No,Yes,Yes,Yes,No,N/A,0,Unknown,Unknown,-3,No,No,4,Yes,Yes,Yes,Yes,Yes,2,Unknown,No,-4,No,N/A,No,4,0.00,Moderate Risk,0.000,-5,No transformation is needed,-5.00
,,-4.00,Moderate Risk,NF00100,3DS Max,max,Digital Design and Vector Graphics,Yes,No,N/A,2024,-3,Unknown,Yes,No,3,No,Yes,No,N/A,No,N/A,3,Unknown,Unknown,-3,No,No,4,Yes,No,Unknown,No,Yes,-4,Unknown,No,-4,No,N/A,Unknown,0,-4.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,-6.00
,,24.00,Low Risk,NF00882,3G2,3g2|3gg2|3gp2,Digital Video,No,Yes,Yes,2015,6,Unknown,Yes,No,3,No,No,Yes,Yes,No,N/A,-4,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,No,No,0,No,N/A,No,4,24.00,Low Risk,0.000,-5,No transformation is needed,19.00
,,28.00,Low Risk,NF00101,3GP,3gp|3gpp,Digital Video|Digital Audio,No,Yes,Yes,2024,6,Unknown,Yes,No,3,No,Yes,Yes,Yes,No,N/A,0,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,No,No,0,No,N/A,No,4,28.00,Low Risk,0.000,-5,No transformation is needed,23.00
,,0.00,Moderate Risk,NF00536,64-bit Portable Executable file,pe|exe|dll|cpl|efi|ocx|scr|sys,Software and Code,Yes,Yes,No,2024,0,Unknown,No,Yes,-3,No,Yes,Yes,Yes,No,N/A,0,Unknown,Unknown,-3,No,No,4,Yes,Yes,Yes,Yes,Yes,2,Unknown,No,-4,No,N/A,No,4,0.00,Moderate Risk,0.000,-5,No transformation is needed,-5.00
,,-17.00,Moderate Risk,NF00769,A86 assembler source code file,a86,Software and Code,Yes,No,N/A,0,-3,Yes,No,No,2,No,No,No,N/A,Unknown,Unknown,-4,Unknown,Unknown,-3,Yes,No,-4,Yes,Yes,Yes,Yes,Yes,2,No,No,0,Yes,Yes,Yes,-7,-17.00,Moderate Risk,0.000,-5,No transformation is needed,-22.00
,,18.00,Moderate Risk,NF00102,Adaptive Multi Rate Audio (AMR),amr,Digital Audio,No,Yes,Yes,2017,6,Unknown,Yes,No,3,No,Yes,Yes,Yes,No,N/A,0,Unknown,Unknown,-3,No,No,4,Yes,Yes,No,Yes,Yes,8,Yes,Yes,0,No,N/A,Yes,0,18.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,16.00
,,11.00,Moderate Risk,NF00865,Adobe After Effects project (Binary Variant),aep,Digital Design and Vector Graphics|Digital Video|Digital Audio,Yes,No,N/A,2024,-3,Unknown,Yes,No,3,No,Yes,No,N/A,Yes,Yes,2,Yes,Yes,3,No,No,4,Yes,Yes,Yes,Yes,Yes,2,Unknown,No,-4,No,N/A,No,4,11.00,Moderate Risk,0.000,-5,No transformation is needed,6.00
,,9.00,Moderate Risk,NF00866,Adobe After Effects project (XML Variant),aepx,Digital Design and Vector Graphics|Digital Video|Digital Audio,Yes,No,N/A,2024,-3,Unknown,Yes,No,3,Yes,No,No,N/A,Yes,Yes,0,Yes,Yes,3,No,No,4,Yes,Yes,Yes,Yes,Yes,2,Unknown,No,-4,No,N/A,No,4,9.00,Moderate Risk,0.000,-5,No transformation is needed,4.00
,,-19.00,Moderate Risk,NF00705,Adobe AIR file,air,Web Records,Yes,No,N/A,0,-3,Unknown,No,Unknown,-3,No,Yes,Unknown,Unknown,Unknown,Unknown,-3,Unknown,Unknown,-3,No,No,4,Yes,No,Yes,Yes,Yes,0,Yes,No,-4,Unknown,Unknown,Unknown,-7,-19.00,Moderate Risk,0.000,-5,No transformation is needed,-24.00
,,-15.00,Moderate Risk,NF00678,Adobe Director,dir,Presentation and Publishing,Yes,No,N/A,0,-3,Yes,No,Yes,-1,No,Yes,No,N/A,Unknown,Unknown,0,Yes,Yes,3,No,No,4,No,N/A,Yes,Yes,Unknown,-7,Unknown,No,-4,Unknown,Unknown,Unknown,-7,-15.00,Moderate Risk,0.001,-5,Acceptable tools exist but NARA does not have them,-23.00
,,-12.00,Moderate Risk,NF00688,Adobe Director cast file,cst,Presentation and Publishing,Yes,No,N/A,0,-3,Yes,No,Yes,-1,No,No,No,N/A,Unknown,Unknown,-4,Yes,Yes,3,No,No,4,No,N/A,Yes,Yes,Unknown,-7,Unknown,No,-4,No,N/A,Unknown,0,-12.00,Moderate Risk,0.000,-5,Acceptable tools exist but NARA does not have them,-20.00
,,12.00,Moderate Risk,NF00668,Adobe Illustrator Artwork 1.0/1.1,ai,Digital Design and Vector Graphics,Yes,No,N/A,1987,-3,Unknown,Yes,No,3,Yes,Yes,No,N/A,No,N/A,5,Yes,Yes,3,No,No,4,Yes,Yes,Yes,No,No,-4,No,No,0,No,N/A,No,4,12.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,10.00
,,21.00,Moderate Risk,NF00823,Adobe Illustrator Artwork 10.0,ai|pdf,Digital Design and Vector Graphics,Yes,No,N/A,2001,-3,Unknown,Yes,No,3,No,Yes,No,N/A,Yes,Yes,2,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,No,No,0,No,N/A,No,4,21.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,19.00
