NARA Format ID,Format Name,new risk level,old risk level
NF00100,3DS Max,Moderate Risk,High Risk
NF00102,Adaptive Multi Rate Audio (AMR),Moderate Risk,Low Risk
NF00105,Adobe Photoshop,Low Risk,Moderate Risk
NF00106,Advanced Audio Coding (AAC) MPEG-2 Audio,Moderate Risk,Low Risk
NF00107,"MPEG-4 File Format, V.2, with Advanced Audio Coding",Moderate Risk,Low Risk
NF00108,Advanced Audio Coding MPEG-4 Low Complexity Object,Moderate Risk,Low Risk
NF00112,Internet Archive ARC,Moderate Risk,Low Risk
NF00116,Audio Interchange Format with LPCM Audio,Moderate Risk,Low Risk
NF00117,Audio Video Interleave Format (AVI),Moderate Risk,Low Risk
NF00135,Binary file,Moderate Risk,High Risk
NF00137,Btrieve 5.1,High Risk,Moderate Risk
NF00142,Cold Fusion Markup Language,Low Risk,Moderate Risk
NF00147,CorelDraw Drawing 8.0,Moderate Risk,High Risk
NF00151,Data File,High Risk,Moderate Risk
NF00152,db file: Paradox; Oracle; dBASE IV; dbvista; dBFast; XTreeGold; XoftSpySE,High Risk,Moderate Risk
NF00153,dBase Table II,Moderate Risk,Low Risk
NF00154,dBase Index File,Moderate Risk,Low Risk
NF00158,Dictionary Lexicon File,High Risk,Moderate Risk
NF00163,Drawing Interchange File Format ASCII 2010-2012,Low Risk,Moderate Risk
NF00164,Drawing Interchange File Format ASCII 2004/2005/2006,Low Risk,Moderate Risk
NF00165,Drawing Interchange File Format ASCII Generic,Low Risk,Moderate Risk
NF00171,Encapsulated PostScript File Format 1.2,Moderate Risk,Low Risk
NF00172,EndNote Import File,Moderate Risk,Low Risk
NF00176,Exchangeable Image File Format Audio 2.2,Moderate Risk,Low Risk
NF00189,eXtensible Metadata Platform,Moderate Risk,Low Risk
NF00191,CCITT T.4 Group 3 compression (Fax image file),Low Risk,Moderate Risk
NF00194,FoxPro 2.0,High Risk,Moderate Risk
NF00197,Framework Database II,High Risk,Moderate Risk
NF00201,Geospatial Tagged Image File Format (GeoTIFF),Moderate Risk,Low Risk
NF00203,Graphics Interchange Format 89a,Moderate Risk,Low Risk
NF00204,GZIP,Low Risk,Moderate Risk
NF00210,Icon file format,Moderate Risk,High Risk
NF00212,Initial Graphics Exchange Specification 5.x,Low Risk,Moderate Risk
NF00215,Java Archive File,Moderate Risk,Low Risk
NF00216,Java Source Code,Moderate Risk,Low Risk
NF00217,JavaScript,Moderate Risk,Low Risk
NF00220,JPEG File Interchange Format 1.00,Moderate Risk,Low Risk
NF00227,Log File,Moderate Risk,Low Risk
NF00233,Lotus 1-2-3 Chart,High Risk,Moderate Risk
NF00235,Lotus Freelance 1-2.1,High Risk,Moderate Risk
NF00240,MacPaint Graphics,Moderate Risk,High Risk
NF00241,MacPaint Image,Moderate Risk,High Risk
NF00257,Microsoft Active Server Page,Moderate Risk,Low Risk
NF00258,Enhanced Metafile 1.0,Low Risk,Moderate Risk
NF00272,Microsoft Excel Office Open XML,Moderate Risk,Low Risk
NF00278,Microsoft Multiplan 4.0,High Risk,Moderate Risk
NF00280,Microsoft Outlook Item,Moderate Risk,Low Risk
